王瀚业 男 20212132031 计算机学院 15854597267 广东省广州市 2785503087@qq.com 2785503087 why101110111011 是 绿码 
张三 男 89236734 计算机学院 234234234 广东省广州市 zhangsan@163.com 无 无 是 红码 
李四 男 782361976 计算机学院 2131434 广东省肇庆市 128763172 无 无 否 绿码 
王五 男 2398476267 计算机学院 2342534 广东省深圳市 32423 123 32423 否 黄码 
丽丽 男 1231234234 计算机学院 23423423 海南 23123123 无 无 是 绿码 
莉莉 女 312312 心理学院 4234 234234 234234 无 无 是 黄码 
李丽 女 1231 历史学院 123434 河南省 1234211 无 无 是 红码 
阿尼亚 女 5212314 计算机学院 5211314 佛杰 18974213894 无 无 是 绿码 
阿西 男 1234214 计算机学院 23423 423423 423423 无 无 否 红码 
阿巴 男 232424 计算机学院 23423 2342 23423 无 无 否 红码 
杨过 男 213894782394 计算机学院 234234 23423 23423 无 无 否 红码 
杨洋 男 124234234 计算机学院 234234 234 23423 无 无 是 红码 
李丽丽 女 234234 计算机学院 234 234 234 无 无 否 绿码 
李晓红 女 1244234 计算机学院 2342354 23423 4234234 无 无 是 绿码 
李艳艳 女 3242434354 计算机学院 2342 234 234234 无 无 是 红码 
张媛媛 女 234525 计算机学院 2345345 234523 5423543534 无 无 是 绿码 
赵雯雯 女 234543 计算机学院 234234 23423 4234234 无 无 是 绿码 
何青青 女 4234234 计算机学院 2342342 2342 342342 234234234 3423 否 绿码 
艾瑞莉娅 女 1234234 心理学院 234234 234 234 2342 234234 是 绿码 
艾希 女 123123 心理学院 123442134 1234234 234234 无 无 是 绿码 
派克 女 2345234 心理学院 4234 234234 234234 无 无 否 绿码 
爱莲安娜 女 4231423 心理学院 123123 12312 312312 无 无 否 红码 
伊芙琳 女 12312 心理学院 12312 12312 312312 无 无 是 红码 
伊芙利特 男 1231231 心理学院 123123 123 123123 无 无 是 红码 
张三三 男 1231231234 心理学院 41234234 4234 2342342 无 无 是 绿码 
张思思 男 3123 心理学院 123 123123 123123 无 无 是 绿码 
李亮亮 男 123432424 历史学院 234 23423 23423 23423 4234234 是 绿码 
王亮亮 男 123123123 历史学院 123123123 3123 1231231 无 无 是 绿码 
何亮亮 男 123123124 历史学院 1323124 asdsad asdasd 无 无 是 绿码 
乌迪尔 男 234234234 历史学院 234234 23423 4234234 无 无 是 黄码 
八神 男 12312312312 外文学院 123123 123312124342534 1233434565 345 345 是 红码 
lisa 女 31231235345 外文学院 1234414 345 3435345 无 无 否 红码 
mike 男 23423424324 外文学院 2342342 23424 234324 无 无 否 绿码 
jack 男 2342345535676 外文学院 234234 23423 567567 无 无 否 绿码 
tim 男 09789678956 外文学院 567567 567567 7868678 无 无 是 绿码 
bob 男 98789 外文学院 789789789 78978 789789789 无 无 是 绿码 
max 男 789789789 马克思学院 567567 567567 567567 无 无 是 绿码 
阿贝 男 2345346457788 马克思学院 7567 65756 56567567 无 无 是 黄码 
李思思 女 42353465 马克思学院 456456 45645 6456456 无 无 否 绿码 
陈露露 女 46456456 马克思学院 45456456 45645 64564564 无 无 否 红码 
王晓红 女 534534 历史学院 5345343 3454435 345345 无 无 否 红码 
章晓红 女 234234534234 马克思学院 23423 4234 2342 34534 5345 是 绿码 
mark 男 2345235345 外文学院 34534 534534 5345345 无 无 是 绿码 
END 
